,company_permalink,funding_round_type,raised_amount_usd,category_list,status,country_code,English Langauge
289,heypillow,venture,3.0,Internet,operating,IND,No
290,hike,venture,65.0,Messaging|Mobile,operating,IND,No
291,hike,venture,14.0,Messaging|Mobile,operating,IND,No
292,hike,venture,7.0,Messaging|Mobile,operating,IND,No
293,hippocampus-learning-centres,venture,2.397981,Education,operating,IND,No
294,hippocampus-learning-centres,venture,13.0,Education,operating,IND,No
295,hippocampus-learning-centres,venture,5.0,Education,operating,IND,No
296,hippocampus-learning-centres,venture,0.6,Education,operating,IND,No
297,hokey-pokey,venture,0.79,Consumer Goods|Distribution|Services,operating,IND,No
298,holidayiq-com,venture,15.0,Resorts|Surveys|Travel,operating,IND,No
299,holidayiq-com,venture,5.0,Resorts|Surveys|Travel,operating,IND,No
300,holisol-logistics,venture,1.5,Logistics,operating,IND,No
301,homelane,venture,50.0,Interior Design,operating,IND,No
302,homelane,venture,4.5,Interior Design,operating,IND,No
303,homeshop18,venture,14.0,E-Commerce|Online Shopping|Retail,closed,IND,No
304,homeshop18,venture,30.0,E-Commerce|Online Shopping|Retail,closed,IND,No
305,hopscotch-4,venture,2.0,Baby Accessories|Consumer Goods|E-Commerce|Kids|Online Shopping|Retail,operating,IND,No
306,hopscotch-4,venture,10.8,Baby Accessories|Consumer Goods|E-Commerce|Kids|Online Shopping|Retail,operating,IND,No
307,hotelogix,venture,1.8,Enterprise Software|Hospitality|Hotels,operating,IND,No
308,hotelogix,venture,1.2,Enterprise Software|Hospitality|Hotels,operating,IND,No
309,housejoy,venture,4.0,Internet,operating,IND,No
310,housing-com,venture,19.0,Real Estate,operating,IND,No
311,housing-com,venture,18.0,Real Estate,operating,IND,No
312,hungama-digital-media-entertainment-pvt-ltd,venture,40.0,Games|Music Services,operating,IND,No
313,hurix-systems-private,venture,5.1,Software,operating,IND,No
314,icreate-software,venture,9.2,Software,operating,IND,No
315,icreate-software,venture,3.23,Software,operating,IND,No
316,id-fresh-food,venture,5.7,Consumer Goods|Online Shopping|Retail|Specialty Foods,operating,IND,No
317,idata-insights,venture,2.0,Consulting|Databases|Market Research,operating,IND,No
318,idea-device,venture,4.0,Data Center Automation|Data Centers|Enterprises,operating,IND,No
319,ideacts-innovations,venture,5.0,Advertising,operating,IND,No
320,ifmr-capital,venture,29.0,Finance,operating,IND,No
321,ifmr-holdings,venture,25.0,Finance,operating,IND,No
322,igate-patni-computers,venture,100.0,Software|Technology,acquired,IND,No
323,imimobile,venture,13.0,Mobile,ipo,IND,No
324,imimobile,venture,10.0,Mobile,ipo,IND,No
325,imimobile,venture,3.0,Mobile,ipo,IND,No
326,impartus-innovations,venture,4.099999,Education,operating,IND,No
327,incap,venture,2.587,Manufacturing,operating,IND,No
328,incredible-technologies-pvt-ltd,venture,15.0,Automotive,operating,IND,No
329,india-property-online,venture,7.0,E-Commerce,operating,IND,No
330,india-property-online,venture,12.0,E-Commerce,operating,IND,No
331,indiahomes,venture,50.0,Curated Web,operating,IND,No
332,indiahomes,venture,0.976,Curated Web,operating,IND,No
333,indiahomes,venture,24.8,Curated Web,operating,IND,No
334,indiaideas,venture,7.5,Finance|FinTech,operating,IND,No
335,indialends,venture,1.0,Financial Services,operating,IND,No
336,indianroots,venture,5.0,Designers|E-Commerce|Fashion|Online Shopping,operating,IND,No
337,indium-software-india,venture,1.0,Software,operating,IND,No
338,industrybuying,venture,9.0,Business Services|Distributors|E-Commerce|Industrial|Online Shopping|Shopping|Supply Chain Management|Wholesale,operating,IND,No
339,infrasoft-technologies,venture,24.8,Software,ipo,IND,No
340,ini-farms,venture,3.2,Farming,operating,IND,No
341,innoviti,venture,5.0,Finance,operating,IND,No
342,innoviti,venture,1.6,Finance,operating,IND,No
343,instahealth,venture,1.308756,Software,acquired,IND,No
344,instamedia,venture,4.0,Curated Web|Media,operating,IND,No
345,intarvo,venture,14.0,Consulting|Outsourcing,operating,IND,No
346,intarvo,venture,7.9,Consulting|Outsourcing,operating,IND,No
347,intellegrow-finance,venture,4.5,Finance,operating,IND,No
348,invictus-oncology,venture,1.88,Biotechnology,operating,IND,No
349,ipolicy-networks,venture,29.0,Security,operating,IND,No
350,ipolicy-networks,venture,15.0,Security,operating,IND,No
351,iprof-learning-solutions,venture,9.0,Education,operating,IND,No
352,iprof-learning-solutions,venture,6.0,Education,operating,IND,No
353,istar,venture,1.506705,Education,operating,IND,No
354,ittiam-systems-pvt,venture,6.5,Enterprise Software,operating,IND,No
355,itzcash-card-ltd,venture,10.0,Gift Card,operating,IND,No
356,itzcash-card-ltd,venture,15.0,Gift Card,operating,IND,No
357,ivy-health-and-life-sciences,venture,12.1,Health and Wellness,operating,IND,No
358,iyogi,venture,15.0,Computers|Hardware + Software|Information Technology|Tech Field Support,operating,IND,No
359,iyogi,venture,3.1,Computers|Hardware + Software|Information Technology|Tech Field Support,operating,IND,No
360,iyogi,venture,28.0,Computers|Hardware + Software|Information Technology|Tech Field Support,operating,IND,No
361,iyogi,venture,30.0,Computers|Hardware + Software|Information Technology|Tech Field Support,operating,IND,No
362,iyogi,venture,9.5,Computers|Hardware + Software|Information Technology|Tech Field Support,operating,IND,No
363,jabong,venture,27.5,Beauty|Fashion|Jewelry|Online Shopping|Shoes|Toys,ipo,IND,No
364,janalakshmi,venture,57.0,Finance|FinTech,operating,IND,No
365,jay-robotix,venture,0.25,Industrial Automation,operating,IND,No
366,jbr-interio,venture,1.5,Design|Interior Design,operating,IND,No
367,jbr-interio,venture,1.0,Design|Interior Design,operating,IND,No
368,joguru,venture,3.0,Travel,operating,IND,No
369,jugnoo,venture,5.0,Apps|Social Business|Software,operating,IND,No
370,jugnoo,venture,3.0,Apps|Social Business|Software,operating,IND,No
371,just-dial,venture,57.0,Local Search|Search,closed,IND,No
372,just-dial,venture,10.0,Local Search|Search,closed,IND,No
373,k-12-techno-services,venture,0.0,EdTech|Education,operating,IND,No
374,k-12-techno-services,venture,15.0,EdTech|Education,operating,IND,No
375,karadi-path,venture,2.3,Education,operating,IND,No
376,kartrocket,venture,2.0,E-Commerce|SaaS,operating,IND,No
377,knowlarity-communications,venture,16.0,Cloud Computing|Emerging Markets|SaaS|Small and Medium Businesses|Software|Telephony,operating,IND,No
378,knowlarity-communications,venture,6.5,Cloud Computing|Emerging Markets|SaaS|Small and Medium Businesses|Software|Telephony,operating,IND,No
379,komli-media,venture,15.0,Advertising|Analytics|Media,operating,IND,No
380,komli-media,venture,6.0,Advertising|Analytics|Media,operating,IND,No
381,komli-media,venture,7.0,Advertising|Analytics|Media,operating,IND,No
382,komli-media,venture,39.0,Advertising|Analytics|Media,operating,IND,No
383,kotak-urja,venture,8.0,Clean Technology,operating,IND,No
384,krishidhan-seeds,venture,30.0,Biotechnology,operating,IND,No
385,la-renon,venture,16.0,Pharmaceuticals,operating,IND,No
